combo_id,lr_actor,dyn_sim_M,dyn_sim_deterministic,dyn_sim_pl_weight,lam,actor_weight,kappa_unc,seed,best_val_sharpe,test_sharpe,test_total_return,test_mean_return,test_std_return
7,1e-05,5,True,0.1,10.0,1.0,1.0,2,-inf,1.7252204418182373,1.092206597328186,0.0007092811865732074,0.0065263970755040646
8,1e-05,5,True,0.1,20.0,0.0,0.0,0,-inf,1.7279672622680664,1.0924795866012573,0.0007113815518096089,0.006535317748785019
8,1e-05,5,True,0.1,20.0,0.0,0.0,1,-inf,1.7236342430114746,1.0922340154647827,0.0007094925385899842,0.006534349173307419
8,1e-05,5,True,0.1,20.0,0.0,0.0,2,-inf,1.7251850366592407,1.0922832489013672,0.0007098715868778527,0.006531963124871254
9,1e-05,5,True,0.1,20.0,0.0,1.0,0,-inf,1.7277230024337769,1.0924676656723022,0.000711289991158992,0.00653540063649416
10,1e-05,5,True,0.1,20.0,1.0,0.0,0,-inf,1.7273046970367432,1.0924311876296997,0.0007110090227797627,0.00653440086171031
9,1e-05,5,True,0.1,20.0,0.0,1.0,1,-inf,1.7234457731246948,1.0922179222106934,0.0007093683816492558,0.006533920299261808
9,1e-05,5,True,0.1,20.0,0.0,1.0,2,-inf,1.725092887878418,1.092267632484436,0.0007097509223967791,0.006531201768666506
10,1e-05,5,True,0.1,20.0,1.0,0.0,1,-inf,1.7240078449249268,1.0922439098358154,0.000709568674210459,0.0065336343832314014
10,1e-05,5,True,0.1,20.0,1.0,0.0,2,-inf,1.724488377571106,1.0922008752822876,0.0007092375308275223,0.006528765428811312
11,1e-05,5,True,0.1,20.0,1.0,1.0,0,-inf,1.7274597883224487,1.0924386978149414,0.0007110666483640671,0.0065343440510332584
11,1e-05,5,True,0.1,20.0,1.0,1.0,1,-inf,1.722816824913025,1.0921653509140015,0.0007089640130288899,0.006532579660415649
12,1e-05,5,True,0.5,1.0,0.0,0.0,0,-inf,1.7895560264587402,1.097154974937439,0.0007473460282199085,0.006629427894949913
12,1e-05,5,True,0.5,1.0,0.0,0.0,1,-inf,1.695737600326538,1.0906529426574707,0.0006973304552957416,0.006527991965413094
11,1e-05,5,True,0.1,20.0,1.0,1.0,2,-inf,1.7245235443115234,1.0921984910964966,0.0007092194282449782,0.0065284655429422855
12,1e-05,5,True,0.5,1.0,0.0,0.0,2,-inf,1.7241050004959106,1.0919612646102905,0.00070739391958341,0.006513242609798908
13,1e-05,5,True,0.5,1.0,0.0,1.0,0,-inf,1.7890715599060059,1.0971418619155884,0.0007472450961358845,0.006630327552556992
13,1e-05,5,True,0.5,1.0,0.0,1.0,1,-inf,1.7110878229141235,1.0916868448257446,0.0007052836590446532,0.0065432144328951836
14,1e-05,5,True,0.5,1.0,1.0,0.0,0,-inf,1.7986032962799072,1.0979623794555664,0.0007535570184700191,0.006650899071246386
14,1e-05,5,True,0.5,1.0,1.0,0.0,1,-inf,1.7089416980743408,1.0917470455169678,0.0007057467591948807,0.006555733270943165
14,1e-05,5,True,0.5,1.0,1.0,0.0,2,-inf,1.724223017692566,1.092132568359375,0.0007087116246111691,0.006524928379803896
13,1e-05,5,True,0.5,1.0,0.0,1.0,2,-inf,1.721594214439392,1.0917935371398926,0.000706103746779263,0.006510844919830561
15,1e-05,5,True,0.5,1.0,1.0,1.0,0,-inf,1.790987491607666,1.0972890853881836,0.0007483775843866169,0.006633272394537926
15,1e-05,5,True,0.5,1.0,1.0,1.0,1,-inf,1.6968690156936646,1.0910464525222778,0.0007003573118709028,0.006551956292241812
15,1e-05,5,True,0.5,1.0,1.0,1.0,2,-inf,1.7156982421875,1.0915086269378662,0.0007039126357994974,0.006512945983558893
16,1e-05,5,True,0.5,10.0,0.0,0.0,0,-inf,1.7311058044433594,1.092668056488037,0.0007128308643586934,0.006536759436130524
16,1e-05,5,True,0.5,10.0,0.0,0.0,1,-inf,1.7234983444213867,1.092236876487732,0.0007095143664628267,0.0065350658260285854
16,1e-05,5,True,0.5,10.0,0.0,0.0,2,-inf,1.7232259511947632,1.092078447341919,0.0007082961965352297,0.006524876691401005
17,1e-05,5,True,0.5,10.0,0.0,1.0,0,-inf,1.7301911115646362,1.092620611190796,0.0007124661351554096,0.006536868866533041
17,1e-05,5,True,0.5,10.0,0.0,1.0,1,-inf,1.7235333919525146,1.0922282934188843,0.0007094485335983336,0.0065343258902430534
18,1e-05,5,True,0.5,10.0,1.0,0.0,0,-inf,1.7307205200195312,1.0926423072814941,0.0007126327836886048,0.006536398082971573
17,1e-05,5,True,0.5,10.0,0.0,1.0,2,-inf,1.7249023914337158,1.0922013521194458,0.0007092413143254817,0.006527233403176069
18,1e-05,5,True,0.5,10.0,1.0,0.0,1,-inf,1.723842978477478,1.0922467708587646,0.0007095907931216061,0.006534462794661522
18,1e-05,5,True,0.5,10.0,1.0,0.0,2,-inf,1.7251759767532349,1.0921802520751953,0.0007090789149515331,0.006524703465402126
19,1e-05,5,True,0.5,10.0,1.0,1.0,0,-inf,1.7312321662902832,1.0926703214645386,0.0007128489669412374,0.006536448374390602
