window_size,lam,networksize,learnrate,seed,sharpe,cumret,meanret,stdret
1,0.5,64,0.005,4.5,1.5784,1.0879,0.0009000000000000001,0.006900000000000001
1,0.5,64,0.01,4.5,1.5138,1.0831,0.0009000000000000001,0.0068000000000000005
1,0.5,128,1e-05,4.5,1.6949,1.0914000000000001,0.001,0.0067
1,0.5,128,0.0001,4.5,1.7026,1.092,0.001,0.0067
1,0.5,128,0.0005,4.5,1.6966999999999999,1.0919,0.001,0.0067
1,0.5,128,0.001,4.5,1.7045000000000001,1.0943999999999998,0.001,0.006900000000000001
1,0.5,128,0.005,4.5,1.6118,1.09,0.0009000000000000001,0.006900000000000001
1,0.5,128,0.01,4.5,1.2896,1.0875,0.0008,0.0085
1,1.0,32,1e-05,4.5,1.6809,1.0909,0.001,0.0068000000000000005
1,1.0,32,0.0001,4.5,1.6654,1.0902,0.001,0.0067
1,1.0,32,0.0005,4.5,1.5349,1.084,0.0009000000000000001,0.006900000000000001
1,1.0,32,0.001,4.5,1.6890999999999998,1.0919,0.001,0.0066
1,1.0,32,0.005,4.5,1.6466999999999998,1.0896000000000001,0.001,0.0066
1,1.0,32,0.01,4.5,1.5233,1.0908000000000002,0.001,0.007299999999999999
1,1.0,64,1e-05,4.5,1.6794999999999998,1.0909,0.001,0.0068000000000000005
1,1.0,64,0.0001,4.5,1.6559000000000001,1.0892,0.001,0.0067
1,1.0,64,0.0005,4.5,1.6882000000000001,1.0916000000000001,0.001,0.0068000000000000005
1,1.0,64,0.001,4.5,1.6715,1.0906,0.001,0.0067
1,1.0,64,0.005,4.5,1.5744,1.085,0.001,0.006500000000000001
1,1.0,64,0.01,4.5,1.3175000000000001,1.0859999999999999,0.0007,0.0081
1,1.0,128,1e-05,4.5,1.6949,1.0916000000000001,0.001,0.0067
1,1.0,128,0.0001,4.5,1.6971,1.0917,0.001,0.0067
1,1.0,128,0.0005,4.5,1.7,1.0922,0.001,0.0067
1,1.0,128,0.001,4.5,1.5994,1.1019999999999999,0.001,0.008
1,1.0,128,0.005,4.5,1.6129000000000002,1.1041,0.001,0.0081
1,1.0,128,0.01,4.5,1.437,1.1023999999999998,0.0009000000000000001,0.0087
1,2.0,32,1e-05,4.5,1.6733999999999998,1.0908000000000002,0.001,0.0068000000000000005
1,2.0,32,0.0001,4.5,1.6715,1.0908000000000002,0.001,0.0067
1,2.0,32,0.0005,4.5,1.6305,1.0887,0.001,0.0068000000000000005
1,2.0,32,0.001,4.5,1.6701000000000001,1.0908000000000002,0.001,0.0066
1,2.0,32,0.005,4.5,1.5483,1.0939999999999999,0.0009000000000000001,0.0073999999999999995
1,2.0,32,0.01,4.5,1.4439,1.0936,0.0008,0.0082
1,2.0,64,1e-05,4.5,1.6785,1.0909,0.001,0.0068000000000000005
1,2.0,64,0.0001,4.5,1.6808,1.0911000000000002,0.001,0.0068000000000000005
1,2.0,64,0.0005,4.5,1.6904,1.0918,0.001,0.0068000000000000005
1,2.0,64,0.001,4.5,1.672,1.0903,0.001,0.0067
1,2.0,64,0.005,4.5,1.574,1.0875,0.001,0.006900000000000001
1,2.0,64,0.01,4.5,1.3371,1.097,0.0009000000000000001,0.0089
1,2.0,128,1e-05,4.5,1.6943000000000001,1.0914,0.001,0.0067
1,2.0,128,0.0001,4.5,1.7047,1.0924,0.001,0.0067
1,2.0,128,0.0005,4.5,1.7044000000000001,1.0926,0.001,0.0068000000000000005
1,2.0,128,0.001,4.5,1.6658000000000002,1.0915,0.001,0.0068000000000000005
