window_size,lam,networksize,learnrate,seed,sharpe,cumret,meanret,stdret
1,40.0,32,0.01,5.0,1.4182727272727271,1.0795454545454546,0.0008181818181818183,0.006818181818181818
1,40.0,64,1e-05,5.0,1.7085454545454546,1.0912727272727274,0.001,0.006818181818181818
1,40.0,64,0.0001,5.0,1.7137272727272725,1.0914545454545455,0.001,0.006818181818181818
1,40.0,64,0.001,5.0,1.7114545454545456,1.0911818181818183,0.001,0.0066363636363636356
1,40.0,64,0.005,5.0,1.6823636363636363,1.0964545454545453,0.001,0.007090909090909091
1,40.0,64,0.01,5.0,1.5727272727272728,1.095,0.001,0.007363636363636364
1,40.0,128,1e-05,5.0,1.7162727272727274,1.0917272727272727,0.001,0.006818181818181818
1,40.0,128,0.0001,5.0,1.7171818181818181,1.0916363636363637,0.001,0.006818181818181818
1,40.0,128,0.001,5.0,1.7089090909090912,1.0912727272727272,0.001,0.0066363636363636356
1,40.0,128,0.005,5.0,1.4880909090909091,1.0885454545454545,0.0008181818181818183,0.007181818181818182
1,40.0,128,0.01,5.0,1.4532727272727273,1.0874545454545455,0.0007272727272727273,0.007272727272727273
