q=5.6e-04, r=1.1e-05, meanNIS=5.25, inside=0.84, above=0.09, below=0.07, score=0.81, mean whitened innovation=-0.0009, std whitened innovation=1.0243
q=3.2e-04, r=1.3e-04, meanNIS=4.70, inside=0.85, above=0.06, below=0.09, score=0.82, mean whitened innovation=-0.0013, std whitened innovation=0.9692
q=1.6e-05, r=2.9e-04, meanNIS=4.81, inside=0.82, above=0.06, below=0.11, score=0.82, mean whitened innovation=-0.0032, std whitened innovation=0.9807
q=2.3e-06, r=3.2e-04, meanNIS=4.74, inside=0.84, above=0.07, below=0.10, score=0.82, mean whitened innovation=-0.0045, std whitened innovation=0.9737
q=4.6e-04, r=4.5e-05, meanNIS=5.23, inside=0.83, above=0.09, below=0.08, score=0.83, mean whitened innovation=-0.0010, std whitened innovation=1.0228
q=3.5e-04, r=8.7e-05, meanNIS=5.25, inside=0.83, above=0.08, below=0.08, score=0.83, mean whitened innovation=-0.0012, std whitened innovation=1.0245
q=2.7e-04, r=1.5e-04, meanNIS=4.65, inside=0.85, above=0.06, below=0.09, score=0.83, mean whitened innovation=-0.0015, std whitened innovation=0.9643
q=5.6e-04, r=1.0e-05, meanNIS=5.27, inside=0.84, above=0.09, below=0.07, score=0.84, mean whitened innovation=-0.0009, std whitened innovation=1.0268
q=6.1e-04, r=1.5e-05, meanNIS=4.73, inside=0.84, above=0.07, below=0.09, score=0.84, mean whitened innovation=-0.0008, std whitened innovation=0.9723
q=1.0e-04, r=2.0e-04, meanNIS=5.21, inside=0.82, above=0.07, below=0.10, score=0.84, mean whitened innovation=-0.0022, std whitened innovation=1.0206
q=7.9e-05, r=2.2e-04, meanNIS=5.13, inside=0.81, above=0.07, below=0.12, score=0.84, mean whitened innovation=-0.0023, std whitened innovation=1.0127
q=1.8e-05, r=2.7e-04, meanNIS=5.21, inside=0.82, above=0.07, below=0.10, score=0.84, mean whitened innovation=-0.0032, std whitened innovation=1.0208
q=2.0e-04, r=1.8e-04, meanNIS=4.62, inside=0.86, above=0.06, below=0.09, score=0.84, mean whitened innovation=-0.0017, std whitened innovation=0.9617
q=5.1e-04, r=2.8e-05, meanNIS=5.25, inside=0.83, above=0.09, below=0.08, score=0.84, mean whitened innovation=-0.0009, std whitened innovation=1.0245
q=1.0e-04, r=2.2e-04, meanNIS=4.85, inside=0.81, above=0.07, below=0.12, score=0.85, mean whitened innovation=-0.0021, std whitened innovation=0.9845
q=2.5e-06, r=3.2e-04, meanNIS=4.73, inside=0.83, above=0.07, below=0.10, score=0.85, mean whitened innovation=-0.0044, std whitened innovation=0.9727
q=4.5e-05, r=2.4e-04, meanNIS=5.17, inside=0.81, above=0.07, below=0.11, score=0.85, mean whitened innovation=-0.0027, std whitened innovation=1.0172
q=3.1e-06, r=3.2e-04, meanNIS=4.71, inside=0.84, above=0.06, below=0.10, score=0.85, mean whitened innovation=-0.0043, std whitened innovation=0.9707
q=3.8e-05, r=2.7e-04, meanNIS=4.87, inside=0.80, above=0.07, below=0.13, score=0.85, mean whitened innovation=-0.0027, std whitened innovation=0.9873
q=2.2e-04, r=1.4e-04, meanNIS=5.31, inside=0.84, above=0.08, below=0.07, score=0.86, mean whitened innovation=-0.0016, std whitened innovation=1.0303
q=1.6e-05, r=2.7e-04, meanNIS=5.24, inside=0.83, above=0.07, below=0.10, score=0.86, mean whitened innovation=-0.0033, std whitened innovation=1.0242
q=3.7e-06, r=3.2e-04, meanNIS=4.69, inside=0.84, above=0.06, below=0.10, score=0.86, mean whitened innovation=-0.0041, std whitened innovation=0.9684
q=2.8e-06, r=3.2e-04, meanNIS=4.72, inside=0.83, above=0.07, below=0.10, score=0.86, mean whitened innovation=-0.0044, std whitened innovation=0.9717
q=5.6e-04, r=9.3e-06, meanNIS=5.30, inside=0.84, above=0.09, below=0.07, score=0.86, mean whitened innovation=-0.0009, std whitened innovation=1.0291
q=5.6e-04, r=3.4e-05, meanNIS=4.72, inside=0.83, above=0.07, below=0.10, score=0.86, mean whitened innovation=-0.0009, std whitened innovation=0.9715
q=3.4e-06, r=3.2e-04, meanNIS=4.70, inside=0.84, above=0.06, below=0.10, score=0.86, mean whitened innovation=-0.0042, std whitened innovation=0.9695
q=5.6e-04, r=8.5e-06, meanNIS=5.32, inside=0.84, above=0.09, below=0.07, score=0.87, mean whitened innovation=-0.0009, std whitened innovation=1.0313
q=1.8e-05, r=2.9e-04, meanNIS=4.78, inside=0.82, above=0.06, below=0.12, score=0.87, mean whitened innovation=-0.0031, std whitened innovation=0.9776
q=4.0e-06, r=3.2e-04, meanNIS=4.68, inside=0.84, above=0.06, below=0.10, score=0.87, mean whitened innovation=-0.0041, std whitened innovation=0.9671
q=4.2e-04, r=6.0e-05, meanNIS=5.24, inside=0.82, above=0.09, below=0.08, score=0.87, mean whitened innovation=-0.0011, std whitened innovation=1.0239
q=5.1e-04, r=5.5e-05, meanNIS=4.67, inside=0.84, above=0.06, below=0.10, score=0.88, mean whitened innovation=-0.0010, std whitened innovation=0.9663
q=4.2e-04, r=8.7e-05, meanNIS=4.67, inside=0.84, above=0.06, below=0.10, score=0.88, mean whitened innovation=-0.0011, std whitened innovation=0.9661
q=3.9e-04, r=7.2e-05, meanNIS=5.29, inside=0.83, above=0.09, below=0.08, score=0.88, mean whitened innovation=-0.0011, std whitened innovation=1.0282
q=4.4e-06, r=3.2e-04, meanNIS=4.66, inside=0.84, above=0.06, below=0.10, score=0.88, mean whitened innovation=-0.0040, std whitened innovation=0.9658
q=6.1e-04, r=1.6e-05, meanNIS=4.70, inside=0.83, above=0.07, below=0.10, score=0.88, mean whitened innovation=-0.0008, std whitened innovation=0.9692
q=5.6e-04, r=7.7e-06, meanNIS=5.34, inside=0.84, above=0.09, below=0.07, score=0.89, mean whitened innovation=-0.0009, std whitened innovation=1.0332
q=3.2e-04, r=9.5e-05, meanNIS=5.34, inside=0.84, above=0.08, below=0.07, score=0.89, mean whitened innovation=-0.0013, std whitened innovation=1.0332
