combo_id,window_size,lr_actor,dyn_sim_M,dyn_sim_deterministic,dyn_sim_pl_weight,lam,actor_weight,kappa_unc,seed,best_val_sharpe,test_sharpe,test_total_return,test_mean_return,test_std_return,min_return
1,10,0.001,10,True,0.1,1.0,1.0,0.1,5,-inf,1.9014811515808105,1.1035466194152832,0.0007965127588249743,0.006649673916399479,-0.05040454864501953
1,10,0.001,10,True,0.1,1.0,1.0,0.1,6,-inf,2.0435943603515625,1.1119213104248047,0.0008609329233877361,0.006687660701572895,-0.04497438669204712
1,10,0.001,10,True,0.1,1.0,1.0,0.1,7,-inf,2.0090014934539795,1.1094801425933838,0.0008421551901847124,0.006654439494013786,-0.04511725902557373
1,10,0.001,10,True,0.1,1.0,1.0,0.1,8,-inf,1.9768495559692383,1.1105300188064575,0.000850230804644525,0.006827518343925476,-0.04506325721740723
1,10,0.001,10,True,0.1,1.0,1.0,0.1,9,-inf,2.0030415058135986,1.112413763999939,0.00086472142720595,0.006853082217276096,-0.04531794786453247
2,10,0.001,10,True,0.1,1.0,1.0,1.0,0,-inf,1.894973874092102,1.1116831302642822,0.0008591008372604847,0.007196818944066763,-0.04669451713562012
2,10,0.001,10,True,0.1,1.0,1.0,1.0,1,-inf,2.051602602005005,1.113931655883789,0.0008763976511545479,0.006781216710805893,-0.044313013553619385
2,10,0.001,10,True,0.1,1.0,1.0,1.0,2,-inf,2.026092529296875,1.1139979362487793,0.0008769068517722189,0.006870587356388569,-0.04585158824920654
2,10,0.001,10,True,0.1,1.0,1.0,1.0,3,-inf,1.8304591178894043,1.101491928100586,0.0007807074580341578,0.006770612206310034,-0.04785257577896118
2,10,0.001,10,True,0.1,1.0,1.0,1.0,4,-inf,1.980865240097046,1.109002947807312,0.0008384844404645264,0.006719542667269707,-0.0446811318397522
2,10,0.001,10,True,0.1,1.0,1.0,1.0,5,-inf,1.9329888820648193,1.1075584888458252,0.0008273730054497719,0.006794721353799105,-0.05209451913833618
2,10,0.001,10,True,0.1,1.0,1.0,1.0,6,-inf,2.0202341079711914,1.109791874885559,0.0008445526473224163,0.006636279169470072,-0.045108795166015625
2,10,0.001,10,True,0.1,1.0,1.0,1.0,7,-inf,1.9217504262924194,1.1042495965957642,0.0008019197848625481,0.006624202243983746,-0.04705345630645752
2,10,0.001,10,True,0.1,1.0,1.0,1.0,8,-inf,1.9996482133865356,1.1102979183197021,0.0008484457503072917,0.006735504139214754,-0.04479497671127319
2,10,0.001,10,True,0.1,1.0,1.0,1.0,9,-inf,1.9540858268737793,1.1070361137390137,0.0008233549306169152,0.006688721477985382,-0.045689165592193604
3,10,0.001,10,True,0.1,1.0,1.0,10.0,0,-inf,2.021268606185913,1.112284541130066,0.0008637275896035135,0.006783478427678347,-0.04413193464279175
3,10,0.001,10,True,0.1,1.0,1.0,10.0,1,-inf,2.1773040294647217,1.118859887123108,0.00091430643806234,0.006666108034551144,-0.045202791690826416
3,10,0.001,10,True,0.1,1.0,1.0,10.0,2,-inf,1.9147660732269287,1.1022727489471436,0.0007867131498642266,0.0065222932025790215,-0.04550284147262573
3,10,0.001,10,True,0.1,1.0,1.0,10.0,3,-inf,1.8757871389389038,1.1011534929275513,0.0007781038875691593,0.006584967952221632,-0.04672133922576904
3,10,0.001,10,True,0.1,1.0,1.0,10.0,4,-inf,1.8805047273635864,1.1004750728607178,0.0007728854543529451,0.006524396128952503,-0.045326828956604004
3,10,0.001,10,True,0.1,1.0,1.0,10.0,5,-inf,1.7990748882293701,1.0962474346160889,0.0007403647759929299,0.006532751489430666,-0.051696836948394775
3,10,0.001,10,True,0.1,1.0,1.0,10.0,6,-inf,1.9759668111801147,1.106531023979187,0.0008194695692509413,0.006583439186215401,-0.045910656452178955
3,10,0.001,10,True,0.1,1.0,1.0,10.0,7,-inf,1.8586456775665283,1.0997540950775146,0.0007673390791751444,0.006553757004439831,-0.0471765398979187
3,10,0.001,10,True,0.1,1.0,1.0,10.0,8,-inf,1.9688912630081177,1.1069259643554688,0.0008225076016969979,0.006631592288613319,-0.04531204700469971
3,10,0.001,10,True,0.1,1.0,1.0,10.0,9,-inf,1.8998641967773438,1.1031010150909424,0.0007930849678814411,0.00662669213488698,-0.047382652759552
