date,MSFT,JPM,JNJ,XOM,PG
2023-11-10,0.19007409,0.18239398,0.15884750,0.22876498,0.23991945
2023-11-13,0.19872235,0.18290509,0.15754743,0.21602157,0.24480353
2023-11-14,0.20693398,0.18301731,0.15632576,0.20422165,0.24950129
2023-11-15,0.21215023,0.18327650,0.15580207,0.19811761,0.25065356
2023-11-16,0.21424191,0.18373628,0.15592769,0.19610430,0.24998984
2023-11-17,0.21651706,0.18384551,0.15609038,0.19413356,0.24941352
2023-11-20,0.21870930,0.18377513,0.15629753,0.19193743,0.24928059
2023-11-21,0.22057207,0.18383634,0.15640469,0.19053644,0.24865043
2023-11-22,0.22217710,0.18394735,0.15647796,0.18960974,0.24778786
2023-11-24,0.22314917,0.18454029,0.15640377,0.18969692,0.24620986
2023-11-27,0.22361979,0.18500270,0.15629050,0.19011119,0.24497582
2023-11-28,0.22428279,0.18548635,0.15621504,0.19009566,0.24392016
2023-11-29,0.22437447,0.18597253,0.15607448,0.19065636,0.24292213
2023-11-30,0.22427452,0.18658131,0.15588650,0.19175749,0.24150012
2023-12-01,0.22382024,0.18720847,0.15563370,0.19333531,0.24000227
2023-12-04,0.22300117,0.18801886,0.15531282,0.19531515,0.23835208
2023-12-05,0.22225372,0.18870568,0.15501840,0.19687822,0.23714392
2023-12-06,0.22168699,0.18916115,0.15480095,0.19797288,0.23637810
2023-12-07,0.22129504,0.18950811,0.15461938,0.19872980,0.23584768
2023-12-08,0.22155836,0.18959400,0.15457469,0.19843015,0.23584275
2023-12-11,0.22172941,0.18983458,0.15446803,0.19854712,0.23542085
2023-12-12,0.22207959,0.19006294,0.15437797,0.19838975,0.23508973
2023-12-13,0.22231270,0.19031230,0.15427677,0.19861655,0.23448166
2023-12-14,0.22311187,0.19023958,0.15429617,0.19780992,0.23454252
2023-12-15,0.22455814,0.18979618,0.15448609,0.19582772,0.23533197
2023-12-18,0.22590919,0.18936761,0.15467677,0.19403765,0.23600875
2023-12-19,0.22731820,0.18908839,0.15480337,0.19289571,0.23589441
2023-12-20,0.22888991,0.18871267,0.15497234,0.19135875,0.23606637
