date,MSFT,JPM,JNJ,XOM,PG
2024-02-27,0.21154705,0.19179682,0.20483874,0.18392183,0.20789562
2024-02-28,0.21152990,0.19191176,0.20479974,0.18401530,0.20774332
2024-02-29,0.21151334,0.19201355,0.20477049,0.18410729,0.20759536
2024-03-01,0.21153641,0.19203059,0.20476872,0.18410583,0.20755850
2024-03-04,0.21152504,0.19207747,0.20476325,0.18416743,0.20746683
2024-03-05,0.21144821,0.19211397,0.20475304,0.18424946,0.20743537
2024-03-06,0.21134005,0.19211821,0.20475756,0.18433902,0.20744510
2024-03-07,0.21125785,0.19209318,0.20475322,0.18435004,0.20754568
2024-03-08,0.21114716,0.19204710,0.20475513,0.18436135,0.20768923
2024-03-11,0.21109615,0.19204447,0.20474188,0.18436098,0.20775656
2024-03-12,0.21105842,0.19207768,0.20473097,0.18440761,0.20772527
2024-03-13,0.21096516,0.19210763,0.20472115,0.18449169,0.20771439
2024-03-14,0.21090205,0.19208610,0.20471980,0.18449458,0.20779742
2024-03-15,0.21078883,0.19210142,0.20469700,0.18454807,0.20786467
2024-03-18,0.21064682,0.19210787,0.20468597,0.18462946,0.20792983
2024-03-19,0.21050906,0.19211540,0.20469077,0.18474162,0.20794314
2024-03-20,0.21036296,0.19213647,0.20469977,0.18488966,0.20791121
2024-03-21,0.21015897,0.19218330,0.20470880,0.18511738,0.20783164
2024-03-22,0.20998226,0.19220285,0.20472211,0.18529283,0.20780003
2024-03-25,0.20977049,0.19216092,0.20475484,0.18544345,0.20787030
2024-03-26,0.20956467,0.19211498,0.20477055,0.18555173,0.20799810
2024-03-27,0.20941722,0.19211942,0.20477232,0.18566391,0.20802705
2024-03-28,0.20926966,0.19217965,0.20475103,0.18581541,0.20798430
2024-04-01,0.20914844,0.19217426,0.20476602,0.18592109,0.20799026
2024-04-02,0.20907944,0.19214784,0.20477965,0.18595348,0.20803957
2024-04-03,0.20893772,0.19202721,0.20482880,0.18597500,0.20823130
2024-04-04,0.20883141,0.19184522,0.20488231,0.18588845,0.20855260
2024-04-05,0.20873688,0.19166613,0.20493414,0.18579209,0.20887075
2024-04-08,0.20860323,0.19152510,0.20497850,0.18576722,0.20912592
2024-04-09,0.20849958,0.19142310,0.20501342,0.18575807,0.20930579
2024-04-10,0.20837598,0.19129848,0.20504531,0.18572183,0.20955850
2024-04-11,0.20821057,0.19108228,0.20511290,0.18565510,0.20993923
2024-04-12,0.20820062,0.19074619,0.20518813,0.18531448,0.21055061
2024-04-15,0.20821866,0.19046021,0.20522973,0.18496363,0.21112777
2024-04-16,0.20823568,0.19016574,0.20526871,0.18459953,0.21173041
2024-04-17,0.20837957,0.18995979,0.20526253,0.18418211,0.21221602
2024-04-18,0.20853943,0.18981190,0.20523921,0.18380649,0.21260306
2024-04-19,0.20871803,0.18970558,0.20519148,0.18342575,0.21295920
2024-04-22,0.20891440,0.18966301,0.20512503,0.18308410,0.21321347
2024-04-23,0.20905690,0.18966030,0.20505942,0.18284342,0.21337996
2024-04-24,0.20919271,0.18968838,0.20499501,0.18265697,0.21346691
2024-04-25,0.20934063,0.18974516,0.20489874,0.18243888,0.21357651
2024-04-26,0.20933981,0.18990448,0.20481524,0.18250649,0.21343397
2024-04-29,0.20933621,0.19005898,0.20473932,0.18258260,0.21328288
2024-04-30,0.20936300,0.19024014,0.20463651,0.18262121,0.21313909
2024-05-01,0.20948169,0.19041781,0.20455877,0.18264127,0.21290044
2024-05-02,0.20956959,0.19057564,0.20449530,0.18268333,0.21267617
2024-05-03,0.20967610,0.19066770,0.20445630,0.18266681,0.21253315
2024-05-06,0.20974575,0.19069843,0.20444439,0.18264157,0.21246983
2024-05-07,0.20986359,0.19071166,0.20441677,0.18252431,0.21248363
2024-05-08,0.20994873,0.19072568,0.20440148,0.18245673,0.21246736
2024-05-09,0.21004686,0.19076166,0.20439807,0.18243545,0.21235795
2024-05-10,0.21015072,0.19083609,0.20437312,0.18242058,0.21221954
2024-05-13,0.21025567,0.19089332,0.20436238,0.18241008,0.21207857
2024-05-14,0.21031334,0.19095662,0.20438635,0.18251267,0.21183099
2024-05-15,0.21025960,0.19102402,0.20440191,0.18268146,0.21163297
2024-05-16,0.21026416,0.19111258,0.20440568,0.18281651,0.21140108
2024-05-17,0.21023238,0.19122010,0.20440134,0.18298733,0.21115877
2024-05-20,0.21028216,0.19123653,0.20440233,0.18297710,0.21110193
2024-05-21,0.21027465,0.19128057,0.20441183,0.18306670,0.21096618
2024-05-22,0.21037261,0.19128603,0.20442583,0.18303475,0.21088080
2024-05-23,0.21042849,0.19122308,0.20445268,0.18296060,0.21093515
2024-05-24,0.21039958,0.19116575,0.20448227,0.18296060,0.21099189
2024-05-28,0.21029723,0.19107835,0.20452011,0.18298435,0.21111998
2024-05-29,0.21023473,0.19094123,0.20456569,0.18292227,0.21133611
2024-05-30,0.21018009,0.19082166,0.20458131,0.18281886,0.21159807
